"Path","BeforeHeadBlobSha256","CapturedPreEditSha256","AfterSha256"
".gitignore","C05ECCBCB2D2D8B1AE9301E5DF816AC4255E4324C1FFCFEBB9232A4257161F81",,"D913B69F318A6FF81DE5A56DB1453278AD45EB133685F7650198B8826356B77D"
"codex/bundles/shared-provider-real-catalogs/inputs/06-thinking-effort-feedback.md","Absent in HEAD (new file)",,"A1A8BE539EEE0A6CC25E3E82E36364810254BCE83596DE63F9671F7A67F5501F"
"codex/bundles/shared-provider-real-catalogs/plan/01-phase-plan.md","2C1A280A9F3F691C4A041B9D43979ABC5F6B1C6D977AEC281F55D76A34597F26",,"C6A85C232125EEBC594E0BA139F7BA177DB0EAEE0443DF0EFC4918205DDBD6D2"
"codex/bundles/shared-provider-real-catalogs/README.md","8A0A237EC5FE10DFDC19445E0562712297A384E1D9D698D041B0B07D1ACEEB60",,"BF199F0FF568B44FD1A057ABCC54EC08E9C6102F7E6544CC83E4116020B88D27"
"codex/bundles/shared-provider-real-catalogs/requirements/01-normalized-requirements.md","A1FA865A8BAECBD67EF22197CFB9AE9042E2D31B9A77A58C81A8A080F816105C",,"3B4FD0CFDDDA8B2E9C812A3EDEC7DE8FE735CF5721239228ABE74E3E793DC476"
"codex/bundles/shared-provider-real-catalogs/reviews/01-execution-report.md","4F1A547746B8AF394C7B6700C799A3828D5BCE259A64CF5F59280EA3A1312FCF",,"7A21D0A78B7843FC3D6D9E583D9274CBCC5FAE70E280DF57C020A7E55E8EB0F2"
"codex/bundles/shared-provider-real-catalogs/reviews/03-thinking-final-verifier.md","Absent in HEAD (new file)",,"672C9C5F273C6F7D5BDA361D3FF0D6CB229A5D6CB43D2BF55FF791B451D38CF1"
"codex/bundles/shared-provider-real-catalogs/reviews/04-completed-validator.txt","Absent in HEAD (new file)",,"3789FE2189F64D90B0284162A00C1D71D1665AA9B8AC9FA49FF473E47EA33752"
"codex/bundles/shared-provider-real-catalogs/subbundles/04-avatar-and-fresh-client/compose.yaml","6BC619D40A81A5F11106ABDAF6E1FC8724D782732A99BC66D2D32F4CDD8579B3",,"E836004B797A641F56E66D4E1BDE950106FFAF21A8A13B7819EF71D3597C5909"
"codex/bundles/shared-provider-real-catalogs/subbundles/07-shared-thinking-effort/README.md","Absent in HEAD (new file)",,"5E886A1F153E41D698F06092E5A040EDFA21E3DA6E80BA30D1692A8BE6A496C6"
"codex/bundles/shared-provider-real-catalogs/subbundles/08-live-thinking-validation/README.md","Absent in HEAD (new file)",,"EA5B4D66B6B7AECD05CE8F6D9F304CA17F781F8818CCEC6B0F50E5C3D6B36479"
"codex/bundles/shared-provider-real-catalogs/traceability/01-requirement-traceability.md","43596E4DF42C2E1587DFD4C0DE4C6FB1836B22E1C41F9A571817CB473A594B91",,"9E64A1E93453592038A4AB0AFFCB768F41EF8D63BF320D0A23A2A897AC7C2359"
"src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderCanonicalRevision.cs","B729389C904006B0C4BC056593430C9B5973B8D348A6082B9CDD732E57031DE4","B729389C904006B0C4BC056593430C9B5973B8D348A6082B9CDD732E57031DE4","63A7CCAFEF1576ECBEA6743F411A4E1D9E00D8E92A7A6F98162323B59CED9B0C"
"src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderCatalogContracts.cs","CE040BE3A64A0252440F632FC67AA7770EA65055830A9AF0CE0C5E3C41CA4101","CE040BE3A64A0252440F632FC67AA7770EA65055830A9AF0CE0C5E3C41CA4101","FA8AADB40CD98456E0E8B8EB6122C84EFFCAAF36D4D2FB883AC9F455730775CC"
"src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderRelayRuntimeContracts.cs","B0C4A4F47864ADD2C675BD33E12C54D75A39833B86EED6F5CC28C6350D3C2C02",,"7781459963861BE4B4A651E957E03115BAA365BAAA33001C8B1D3C345A2E05F3"
"src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderThinkingCapability.cs","Absent in HEAD (new file)",,"520DA3FBA91E3180D85233740D7F189FC3C9F030A09B16E283648DAB6B283F76"
