"Path","BeforeSHA256","BeforeSource","AfterSHA256"
"repo://.gitignore","EAB53ECF1B7853E66C3ECFDFB5FFB6B9B42397D3A0213A2DBA3573A389ED3B1D","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","B6CFA8A2C23A4A882B95EC012100603EAE20FCB414CA2D268E17BFFAFA971DF2"
"repo://codex/bundles/shared-provider-real-catalogs/analysis/04-simple-chat-access.md","ABSENT-new-file","New file in SB03","5230FA328B1A7EBC3A76EF49457A86207348FB9B1D2FB41B015D8C54F4FDB443"
"repo://codex/bundles/shared-provider-real-catalogs/inputs/03-simple-chat-access-feedback.md","ABSENT-new-file","New file in SB03","1D06C270B93E023964BBB03B51F382CB8B0D71A0912CE868ADB1C6A2F5016258"
"repo://codex/bundles/shared-provider-real-catalogs/plan/01-phase-plan.md","21E7AA4FC8777EE31936DE79762CBAF8773D99411266A9EFE5F6EBB8B074E6D2","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","FCCB60C6AD972E90E916B9E59819EE2E107DCA6FE58550E0B1856DC53A4A042E"
"repo://codex/bundles/shared-provider-real-catalogs/proof/SB03/Audit-AccessSource.ps1","ABSENT-new-file","New file in SB03","439B208656CDFBA568275233829A8F5E05CFD08F1EF632B0384142D9D10C0B87"
"repo://codex/bundles/shared-provider-real-catalogs/proof/SB03/manifest.md","ABSENT-new-file","New file in SB03","A7EE03122C8C65D40A7B20346929A4ABC20B3144B3F8761E22549B3D06E47F19"
"repo://codex/bundles/shared-provider-real-catalogs/proof/SB03/Read-AccessRuntimeEvidence.ps1","ABSENT-new-file","New file in SB03","0AA238B6566822205C8C1B0FD76D590A0169F9989F869B6280F5C9636D27641C"
"repo://codex/bundles/shared-provider-real-catalogs/proof/SB03/Run-AccessTests.ps1","ABSENT-new-file","New file in SB03","BD904ECA1ABE3BDD0641D4CD049FD5F7889179C20C88FA9D3F40CB5DD5FA4C99"
"repo://codex/bundles/shared-provider-real-catalogs/proof/SB03/semantic-invariants.md","ABSENT-new-file","New file in SB03","6F1770F411C81B997A8CC447960F31BEB4D0FA773224E2C19817812F798191A6"
"repo://codex/bundles/shared-provider-real-catalogs/README.md","5B47D8EA11EA651E3DABAA8496F4F56DD2E0FFD529D0A5E611EACF0FEC163A2D","Baseline HEAD 3b998b363 raw Git blob, not exact pre-edit working-tree bytes","A9A68C450F3EAF69BA79CF25A90D05873ECE272B789D064AB7579378B76F600C"
