"Path","Length","SHA256"
".gitignore","2917","80F38B6D3A883C72A7A762777C1E81709A99FC9E000FAC3B8FD12617768E34B9"
"codex/bundles/shared-provider-real-catalogs/inputs/08-project-image-failure-feedback.md","1556","12ACED6818544625013AACD9148CFBB86FB82D8955C96105B7A93C4F1CC4AEAE"
"codex/bundles/shared-provider-real-catalogs/plan/01-phase-plan.md","4971","0045CF93F5247E46AA76C48603BCC422D08D69C5ADEF6A6E33B1948F417624DB"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/before-hashes.csv","657525","E371327CBE4C86495DF5989737FCCE466C3FA43A65C2C0B0D036A5A975375317"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/broad-regression-results.md","3964","9BFBE6210BB59102354AB82B5B760F06EF4BF0FF68581D4AC3546E9F6A182948"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/calculator-image-preview.jpg","174387","F0932AA1948FF7D9A47E1FEE725593AA0D9428A532041D7251E5BEB2549FDCE1"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/expired-token-ui.png","100746","B88949D7E4D1318931D8C8DA20C04CC50864BF9019EADAF4A5A3ACB9FCED7302"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/final-calculator-image-inspected.jpg","167262","98700E61EB07FA430CC7A57ABF9207FF27BCEA48AE887D45374033FEFEDB849E"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/final-calculator-image-preview.jpg","158654","EE6D5D9958CD2E577BD16A62065989EE5FB45792A78711D951E78AFCBA4E3153"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/changed-files.csv","1824","6D68D3B1A6A4A7C7F58B03CA96D817D2BD58A8F68BE432A054E69E023FD4F921"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/manifest.md","11679","40025A2BEA440CFFAED4D478859F38167EAC8F0E8E3AA75E8194B4A464A5E866"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/project-image-canvas-visible.jpg","187299","94DA4D96FBA2402297DB0C4239F0A6F3544166359647AB744428B6BAF0F8A6D5"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/project-image-canvas-visible.png","544239","4F0BAFCBE3CA15311B080100168486595C548D586846204B250C3288D290F584"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/project-image-canvas.png","300241","E3CFEAD467830C20CA81BD0BD13D7C37F3D4556301A424A9D422475DFECC3E06"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/repaired-401-ui.png","232022","92B8A59359AEFB6C383D8E086067A05C12BC502F6ACE79E5EC358B7F03C52B24"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/Run-Tests.ps1","3492","25554C1A733D256FF5D398A143BE818C50A087FD8995A76B131E558AD6A8FAF6"
"codex/bundles/shared-provider-real-catalogs/proof/SB11/semantic-invariants.md","2116","C3B61383BEB9414C3921FBC5EB7D3E3B5A8B13E171099F1DD2131FD365A5A94C"
