Command: SB02 changed-file SHA-256 manifest
Working directory: C:\repositories\CanDoItAll
Start: 2026-05-25T14:20:21.8267974-04:00
Exit code: 0

| Path | Before SHA-256 | After SHA-256 |
| --- | --- | --- |
| repo://src/CanDoItAll.Modules.Processes/Runtime/ProcessArtifactProjectionLineage.cs | NEW | 9d22975084188791793f153772e59a036bce4a5bcca3c3c9f2247ec3e3991b48 |
| repo://src/CanDoItAll.Modules.Processes/Persistence/Entities/ProcessRuntimeModels.cs | 1d94fba8774c0ed522ee70c8a52f5bbf2284545f9af476d2da954baa208743ef | b32340e7273ede7ec3e189eff60af94fce0ab0b069e68da38a4159f250bdb470 |
| repo://src/CanDoItAll.Modules.Processes/Persistence/Configurations/ProcessRuntimeEntityConfigurations.cs | c0667f5052eddd63af0bb37ed492f2563000294c68d4e23a62fc9ce9b32b7f7e | dc25f6f6fb6c6166eb29d4ed65a2be1ebfbb5ab558d31a2435a4ab372de73edd |
| repo://src/CanDoItAll.Modules.Processes/Runtime/ProcessRuntimeViewModels.cs | de44f8dd002632f9019fdbf24727a333e624d51f720e89e7a8bcf88ae4d4395e | b8a6d27e6d24e382320d9ffc576ac2a6afc2c23dad2fa5ab793f3a7defb826ea |
| repo://src/CanDoItAll.Modules.Processes/Runtime/ProcessesService.Runtime.Operations.cs | 4b248275f5721e4e6edec2224d359409156aa6302cd023736fe63e92872168f9 | 34b95be2f18ccc2ea52de6eaa1f672a04ad4215de693c09242e1e2814e09a083 |
| repo://src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessRunAutomationDispatchService.ArtifactProjection.cs | f1d8d90cc354e00a8f5dab28c0844186e23ae57b48a98f0d79fd93f4bff8c995 | 044682cc761840b00d9c9e6e83bccbe2aab33b487df6cd6e4464b01f5c88447a |
| repo://src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessRunAutomationDispatchService.StepCompletionFinalizer.cs | c641cd509919e9c2a10571b714515aa35c168d42cc83983811c57e6d992f6757 | bf5eaa1c792e7d8c5e7c53eef1864be4f12e015c3776d28e41d6c340d0fa4c1c |
| repo://src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessWorkflowRunCoordinator.cs | d52ec9bf5b84997a110cb6b9eee336e5bd6e38d625e6cdecce273435179fb23d | 6de0c402ca1c3c83d3ae0f5be7b0b95fe696d9b08730b076ba225695819dd415 |
| repo://src/CanDoItAll.Modules.Processes/Automation/Dispatch/ProcessRunAutomationDispatchService.Dispatch.cs | 11aa67fc1930921e9741db30ab74160ebdd4e9be50f71339594849dc9acfed57 | a1e18191212b6d43610800125a4dd9b2c7713dad772188a2de644e78695747e4 |
| repo://src/CanDoItAll.Migrations.PostgreSql/Migrations/20260525140500_ProcessArtifactProjectionLineage.cs | NEW | c578043c7439a7d47b1ec2817eaf60ab7a79696392255dc537fada906c07d125 |
| repo://src/CanDoItAll.Migrations.PostgreSql/Migrations/AppDbContextModelSnapshot.cs | e68d11258a206fd79986e6d5d78db7ae97d23222a491ed8737c82a7d668b2962 | bc25521a6d80de19d79599ee87b61c8cbcdb68ab97d9e7ad215adcbf9957cd92 |
| repo://tests/CanDoItAll.Tests.Integration/ProcessRunAutomationDispatchServiceTests.cs | 6bf9de9bfa5b64e1aa9e3bfca4f250d40a8967ac3cd5827684ed6b534ff0670f | 8ba49272f520122e61759e2c542ae5785eb4fd061b92c070774b7ad75ab92cb8 |
| repo://codex/bundles/processes-hardening-followup-runtime-integrity-v4/README.md | 03b579f981688c3264bc0c5c60c2c927d15c92ef73d224d9c57d9e5d856e8237 | 933c574b360cf74c80664545c1e858ea42aa18c84dab741f3195ff02dec38656 |
| repo://codex/bundles/processes-hardening-followup-runtime-integrity-v4/reviews/01-execution-report.md | e958bd1b5703b9416923fb57e1ca283cfc29740b21b814118e0ad9afc00cff09 | 12c81792f3a1e2eea87f78d3d97d97d5494a098ed61bb2251b5eaa066831bc53 |
| repo://codex/bundles/processes-hardening-followup-runtime-integrity-v4/subbundles/02-lineage-keys-and-artifact-provenance-schema/README.md | 80f1dc5933c382969619c5839d3316c821ec5bed1c953458d4fd10fbd356c79f | da02fdc62a6d17756d811733d03c950c69ad5845a4fe42327320559b5c5edcb5 |
| repo://codex/bundles/processes-hardening-followup-runtime-integrity-v4/proof/SB02/manifest.md | 67c38467a0f6f6f429f871dda2bc8b59abeff944191bdeaeb388c0fc62ae1b45 | 29e9731d1e136594ee0f5db3712ceafc6c48043303d636752ed5c58a4180272b |
| repo://codex/bundles/processes-hardening-followup-runtime-integrity-v4/proof/SB02/semantic-invariants.md | d470cebf314d5e23ab4982f3cb96b600f3f22d63673830b503d3a3e9582d241c | 92a83691c6421a3f0c5697f72634bb2c8c9e29c104216928a8156c3a1a135057 |
