"Path","Bytes","SHA256"
"browser-validation.md","3220","BDFAA551C65DC71C2B521AEF39BE2DA683E7A8592F1A27C40EA5C8E4DE6AA996"
"browser/5214-before.png","222468","C466714BD69CB6E195E61D282418C51EBE145D863A783A78EDEF012FD4662A86"
"browser/5214-final-sol-medium.png","216974","8384D6F74283F99096B0F469F5B59176C4A79FB46F54D3BDAADBD4598DB4177D"
"browser/5214-sol-refreshed.png","221288","C5318700CBEE7DA4EACB7CE666B8B723097721201D24666FD5D138AF7C3F0B26"
"browser/client-mirrored-thinking.png","264925","2A4151C4ACA7BD34A67CF6D1983810B4E864920FA4DE9D9BB7117860B511B71E"
"browser/client-model-options.png","222472","98A75A7EB713D9A0597C3BDBE10AADE407AC1811E3F2104F7D403031AAC443F1"
"browser/client-ollama-manual-options.png","225386","58F526941DBBF1BA780CC48AA169C55BE2ABE31178E55F73B0EE6FEBE209F591"
"browser/default-low-runtime.png","249848","CF0F63FC1AC568F0046F4F8C2132089899C444B68E68B762607B26AA934EA118"
"browser/final-compact-dialog.png","266027","B48E42490E56B4C7D7D13D516402553362F53B5B512660FCAD9C52D88B672A91"
"browser/final-sol-medium-runtime.png","251811","DC03F7DDF6921871151E3712880C4AFEAD970C9E712AAE8C5A7793BAEE1649DE"
"browser/final-sol-runtime.png","251112","B1CF09C04F989825747A407FD2388BB0520A9D528776AE19CA9049309CD9066D"
"browser/final-source-tabs.png","254703","218BD718C9E12507C32C4BE0BEC101EF2F22D4A5365626BBE48DBB4159D3A0D9"
"browser/final-unsupported-model.png","218062","8975821BC01F4D963FECD16ABFA37E1122231F209D315953895635768F02202C"
"browser/ollama-empty-rejected.png","267978","DFBDD921E602596E011A9E63419B88ECE953406945730801C240E34D83BADA04"
"browser/ollama-high-runtime.png","248273","73ED728C52044558098240C10C389536D3F82C85AAA96C4F02DCCAEE2CB82478"
"browser/ollama-low-runtime.png","248565","7F8E66F5D16B972D049AABE588ED5284B029A7F437B5F87F3C259A6AE1D42AC3"
"browser/ollama-manual-after-health.png","200538","D710D1894EF04E07296639627A511139AF3DCE1CDED157A37526E8DF02DEBA55"
"browser/ollama-manual.png","265683","8F4F59C8512958E9F8E26B0938E0741F9CF6F05E41A4BEFD0E3579CC98C2520F"
"browser/simple-chat-model-options.png","181856","B3E7D7FC4914CA09724A9BE72BD6595E19D3E5D6723BED4B6BBEF9E5D07FEAFC"
"browser/sol-high-runtime.png","250106","090C5EED81488E4A77933F8F37ABD3A91403D087543E8D5DD42052281A3DE308"
"browser/source-final-thinking-table.png","265093","570304B3D211AB343E06C9BD6EFEE81BDD6FBC610B9BF2E02B40E4F144381AEC"
"browser/source-manual-sol.png","256047","EDBD9F25881C9C3D1A1280AEDF35E6378D03A54ECA4F55F40E1626A42F8F40C2"
"browser/source-thinking-defaults.png","255721","C1A04679EC4E1113D8A446362FD02117503161BD9D7BF1272820B3758EA20453"
"browser/source-thinking-editor.png","249758","08630053160EE339119DB547DFB1D7D32FF9F471F625EBDC78B5416DF4064FB2"
"Collect-Host.ps1","1281","64E0F9CEB3C812D1DE08ED6F7325FC5B27E553C804D6ED9056832413D1DA4711"
"deploy-1.txt","2097","F03EF1563A4F3B3FA480DE5957A0A533CB52C0BF57110033D5939E7D2B4E0971"
"deploy-2.txt","1948","522E8CC195892CD48DD9EEE1C89B9325235FD3792F5204054E23B2F543F61F28"
"docker-build-1.txt","1750","7355F38F4C22DF76169B8542058B4AD186F0826CF54FBD499A90F547EEE4C2A6"
"docker-build-2.txt","1288","F71556EDD08E46988F272F06C854C5C5A6672E3A04449041FE69AF8D5DAF8182"
"final-health.json","1173","BD7BD7D0A68C0D4462C85E14AAE8C98F0BF42A308D8B34D25A5C21F8A3C4EB78"
"final-source-evidence.txt","644","BBE3F9CEE91EF518A0BF27967B4734BA9BFEF46B46B7D74E4D4E9671DF3012A6"
"live-source-evidence.txt","2470","3503BA08CAEA57ABCF88B66641C2ABFF748BA0D1E1E8967B8FE36EA71D988FBA"
"manifest.md","4736","2D64C13564CC46567D9CFFF41D9D935C1B700B58CF3536412D8483D99BC6A5CA"
"mcp-configuration-results.json","11954","0894C47196FCDBF08B7E943387F1C26E53CB562E0ADCBD31E6000430B3CDFAD4"
"mcp-execution-results.json","12752","73734DFBA7BCE3F9F8CEC2B3105A67CECF9B639A7B2F8FD90823F56B94FDBE0A"
"mcp-final-results.json","7732","81312764FD8967CD2B35C19A6525E806C95C7D475147AFE351DE1C3E8A7D9D06"
"semantic-invariants.md","1430","EA059A4D503B217CCA6FBE75EFB8FA28BD3163087E1F5D9A810EEE67B878794C"
"sol-medium-proof.json","5164","8807EDEA48445C9894754F703D4E13D61B281AF25DEAFE0A6345B92DC7906973"
