"Path","BeforeSha256","AfterSha256"
".gitignore","D913B69F318A6FF81DE5A56DB1453278AD45EB133685F7650198B8826356B77D","369166655EE58227D8365482589F4D9C9C01E8EA0B9C9403CFD6756203F30765"
"codex/bundles/shared-provider-real-catalogs/inputs/07-provider-model-thinking-settings-feedback.md","ABSENT (new file)","BD07524C788ECBD91EB8B66C08EAF0CAE51F457AC563AEDEBEE9504FC35A6519"
"codex/bundles/shared-provider-real-catalogs/plan/01-phase-plan.md","C6A85C232125EEBC594E0BA139F7BA177DB0EAEE0443DF0EFC4918205DDBD6D2","7E90F782074DA88C13FFEEA38AAADCB5C8C980CB3B7742435898C32BB4DFE0A9"
"codex/bundles/shared-provider-real-catalogs/README.md","BF199F0FF568B44FD1A057ABCC54EC08E9C6102F7E6544CC83E4116020B88D27","1CB20FF6E58B531B76B71D3C23E47857858D4B88C5770362901FF5C4B842B65A"
"codex/bundles/shared-provider-real-catalogs/requirements/01-normalized-requirements.md","3B4FD0CFDDDA8B2E9C812A3EDEC7DE8FE735CF5721239228ABE74E3E793DC476","67D5E981E81393AB0249F4475DEEAA1B378D2214A409B34A3E2FEDFC9C34ECBF"
"codex/bundles/shared-provider-real-catalogs/reviews/01-execution-report.md","7A21D0A78B7843FC3D6D9E583D9274CBCC5FAE70E280DF57C020A7E55E8EB0F2","0AC727046810A2799CDB6D2579DC69E49A4A4D560B09D1AEE7E18B44EA655F50"
"codex/bundles/shared-provider-real-catalogs/reviews/04-model-thinking-final-verifier.md","ABSENT (new file)","961A45555F2953DBBC1413766DF6C84FD508E0EC0567E8263735E8F2F9D9400A"
"codex/bundles/shared-provider-real-catalogs/subbundles/04-avatar-and-fresh-client/compose.yaml","E836004B797A641F56E66D4E1BDE950106FFAF21A8A13B7819EF71D3597C5909","5B8F3ADBBE98E91FE060FD572C0604DFFB47E2D6011E5021164D9A5CD88124D6"
"codex/bundles/shared-provider-real-catalogs/subbundles/09-provider-model-thinking-settings/README.md","ABSENT (new file)","52D943867D2173389FFE353F96B6B332BD58E15CC378C670435C6F9CCB9FEEFA"
"codex/bundles/shared-provider-real-catalogs/subbundles/10-model-thinking-ui-proof/HANDOFF.md","ABSENT (new file)","6090E2F8A76BBE57394822AD5743AE7C7AFA4AAB503CCC6BFD8E9FC294C37EF2"
