# SB05 Changed File Hashes

Generated: 2026-06-29T13:43:25.6166390-04:00
Repository: C:\repositories\CanDoItAll

| Path | HEAD SHA-256 | Working tree SHA-256 |
| --- | --- | --- |
| `src/CanDoItAll.AgentFramework.Workflows.Core/WorkflowCatalogServices.cs` | `<not in HEAD>` | `a204fdc10818a1d5e7f69fa7f917590d9cd3c680d621bfe59c6f1e1ff68febf1` |
| `src/CanDoItAll.AgentFramework.Workflows.Core/InMemoryWorkflowCatalogStore.cs` | `<not in HEAD>` | `dc395aaa71296ddd8050983ef7e7f976dcd09e0f11b6e3ec4e246b41770d8bfe` |
| `src/CanDoItAll.AgentFramework.Workflows.Core/WorkflowTestRunner.cs` | `<not in HEAD>` | `6f0469f94fda371cae05fe1f9913df05e037001bf97a0f054e7a9ed39df8c2d2` |
| `src/CanDoItAll.AgentFramework.Workflows.Core/WorkflowDefinitionValidator.cs` | `<not in HEAD>` | `7ca0e4c0416029e19fc9a2be2c30acb56bf6050c8f1c85a153645aa9d269650e` |
| `src/CanDoItAll.AgentFramework.Workflows.Core/WorkflowDefinitionValidationOptions.cs` | `<not in HEAD>` | `6b2ecdcb1a0da1e720f39f9d8ab219bf38de8f7453e3ac852161452341cb912b` |
| `src/CanDoItAll.AgentFramework.Workflows.Core/WorkflowRuntimeBackendCatalog.cs` | `<not in HEAD>` | `c2ab0a3f2de475b6a7bfc246030fddc819d2ebbbe0e8652a4f7b2137333e461a` |
| `src/CanDoItAll.AgentFramework.Workflows.Core/WorkflowRuntimePolicyValidator.cs` | `<not in HEAD>` | `b60677a4f10b8572aee57c420e5452711d673c8c1a3b224c5dcbd25267480769` |
| `src/CanDoItAll.AgentFramework.Workflows.Runtime/WorkflowRuntimeManager.cs` | `<not in HEAD>` | `7352af52eb4c6af71b58403bb7151fd76ae83fef88050b267d3f484acf96012d` |
| `src/CanDoItAll.AgentFramework.Workflows.Runtime/InMemoryWorkflowRunStore.cs` | `<not in HEAD>` | `3bd9153308be20ec733e90caef9f7357c0ae02800769c9da44acd10dff5cd4e5` |
| `src/CanDoItAll.AgentFramework.Workflows.Runtime/NullWorkflowEventSink.cs` | `<not in HEAD>` | `ea3c6763106210a63d25569e76ca6aa1aabd289108fb577e9d13e52abc4e7dbc` |
